Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
175		0.1377		0.2917		0.0000		0.6773		0.00007971
176		0.1362		0.2886		0.0000		0.6764		0.00007695
177		0.1355		0.2859		0.0000		0.6768		0.00007417
178		0.1381		0.2825		0.0000		0.6724		0.00007138
179		0.1367		0.2859		0.0000		0.6721		0.00006858
180		0.1345		0.2925		0.0000		0.6683		0.00006577
181		0.1346		0.2808		0.0000		0.6734		0.00006295
182		0.1343		0.2890		0.0000		0.6703		0.00006011
183		0.1341		0.2883		0.0000		0.6754		0.00005725
184		0.1337		0.2888		0.0000		0.6793		0.00005438
185		0.1331		0.2850		0.0000		0.6732		0.00005149
186		0.1327		0.2897		0.0000		0.6763		0.00004859
187		0.1328		0.2931		0.0000		0.6753		0.00004566
188		0.1325		0.2809		0.0000		0.6810		0.00004272
189		0.1319		0.2894		0.0000		0.6824		0.00003975
190		0.1320		0.2914		0.0000		0.6714		0.00003675
191		0.1310		0.2868		0.0000		0.6742		0.00003373
192		0.1313		0.2768		0.0000		0.6782		0.00003068
193		0.1311		0.2818		0.0000		0.6796		0.00002759
194		0.1304		0.2839		0.0000		0.6771		0.00002447
195		0.1299		0.2899		0.0000		0.6775		0.00002130
196		0.1292		0.2850		0.0000		0.6799		0.00001808
197		0.1292		0.2905		0.0000		0.6767		0.00001479
198		0.1291		0.2853		0.0000		0.6831		0.00001141
199		0.1288		0.2817		0.0000		0.6839		0.00000792
200		0.1285		0.2871		0.0000		0.6792		0.00000425
